39565:Polish Premier League - semifinal,SEGMENT 4_6,I,13,24,AZS PWr Wroclaw,78,RAL Poznan,40
39573:Polish Premier League - semifinal A,SEGMENT 6_6,I,13,24,AZS PWr Wroclaw,146,RAL Poznan,84
39637:PALACE CUP 2015,MATCH 9_11,I,19,24,VYTAS,0,CASTNER,0
39643:PALACE CUP 2015 INVITATIONAL TEAMS,FINAL 2_3,I,11,20,ERA,38,VYTAS,24
39901:BBO1 2015 EOBC - Open Teams,R16 1_2,I,1,14,VITAS,0,VINCIGUERRA,0
39910:BBO1 2015 EOBC - Open Teams,QF 1_2,I,1,14,ORANGE WHITE,0,VITAS,0
39915:BBO1 2015 EOBC - Open Teams,QF 2_2,I,15,28,ORANGE WHITE,28,VITAS,7
40353:2015 Spingold R32,Segment 3 of 4,I,1,15,Cayne,40,Blanchard,70
40363:2015 Spingold R16B,Segment 2 of 4,I,16,30,Cayne,43,Team Wolff,19
40388:2015 Spingold QFA,Segment 2 of 4,I,16,30,Schwartz,28,Cayne,20
40395:2015 Spingold QFA,Segment 3 of 4,I,1,15,Schwartz,44,Cayne,43
40400:2015 Spingold QFA,Segment 4 of 4,I,16,30,Schwartz,83,Cayne,78
40419:2015 Spingold SFA,Segment 2 of 4,I,16,30,Cayne,38,Lavazza,19
40423:2015 Spingold SFA,Segment 3 of 4,I,1,15,Cayne,71,Lavazza,22
40425:2015 Spingold SFA,Segment 4 of 4,I,16,30,Cayne,144,Lavazza,71
40439:2015 Spingold Final,Segment 3 of 4,I,1,15,Cayne,60,Monaco,52
40440:2015 Spingold Final,Segment 4 of 4,I,16,30,Cayne,88,Monaco,85
